名称,地区,经度,维度,总价/万,单价/元,规格,大小/平方米,朝向,装修,楼层,楼层样式,关注人数
百信御江帝景一期,泉州桥南,118.61028843945,24.8730549315466,360,26351,4室2厅,136,东东南,毛坯,高楼层(共33层),塔楼,30
高阳华庭,宝龙广场,103.966924010409,30.6721608770754,165,14287,3室2厅,115,南,毛坯,低楼层(共21层),板塔结合,170
锦洲瑞苑,泉州桥南,118.569463148952,24.8884677614076,145,11329,3室2厅,128,东南,毛坯,高楼层(共24层),板塔结合,310
卓辉海港城,泉州桥南,121.754290727051,31.1869986452953,259,21758,4室1厅,119,东南西北,精装,中楼层(共32层),塔楼,90
中航城天骏,宝龙广场,116.411857835384,39.9375745697243,112.5,13653,4室2厅,82,南北,毛坯,低楼层(共21层),板楼,2490
世贸一品,泉州桥南,116.459315674798,39.9230077923451,210,15914,4室2厅,131,南,精装,低楼层(共29层),板楼,210
金丘紫金城,紫帽镇,116.459315674798,39.9230077923451,91.5,8191,3室2厅,111,东南南,毛坯,低楼层(共18层),板塔结合,50
海上海领海苑,东海,110.305777122939,25.0694480504461,350,27082,3室2厅,129,南,精装,低楼层(共40层),板塔结合,190
溜溪花园,泉州桥南,118.61028843945,24.8730549315466,165,14290,3室2厅,115,南,精装,中楼层(共15层),板楼,110
雁山花园,池店南,121.422169034241,31.21819666868,145,10856,3室2厅,133,南,毛坯,低楼层(共27层),板塔结合,110
海上海领海苑,东海,118.614561588929,24.8877652462785,420,29743,4室2厅,141,南,精装,中楼层(共39层),板楼,90
嘉琳广场,洛江区,118.783798843562,25.0202815207388,173,11109,3室2厅,155,东南,毛坯,高楼层(共33层),板楼,210
香缤御豪苑,东海,118.80784055324,25.0265463039769,456,36921,4室2厅,123,南,毛坯,高楼层(共25层),板塔结合,30
宝源花园,石狮中心,113.226575806292,23.4111615048757,76,6344,3室2厅,119,东,精装,高楼层(共8层),板塔结合,70
灯洲安置房,万达,121.497360798648,31.6823472261387,169,16527,4室2厅,102,南北,精装,高楼层(共6层),板楼,150
卓辉汇景城,晋江万达,116.069677905609,39.7144672064437,147,16633,3室2厅,88,南,简装,低楼层(共27层),板楼,110
嘉琳广场,洛江区,116.069677905609,39.7144672064437,165,13807,3室2厅,119,东南,简装,中楼层(共34层),板楼,50
瑞璟香榭花都,宝龙广场,106.260842158671,27.5065158607119,230,13962,3室2厅,164,南,简装,高楼层(共23层),板楼,70
中骏天峰,万达,116.459315674798,39.9230077923451,335,36386,3室2厅,92,南,精装,高楼层(共29层),塔楼,130
万科城市之光一期,东海,116.649158979919,40.1287811297252,240,24366,3室1厅,98,南,精装,低楼层(共33层),板楼,290
仙格小区,宝龙广场,121.248049578936,31.0667764710522,78.6,12806,2室1厅,61,东南,简装,高楼层(共24层),板楼,150
